timestamp,spx_open,opt_open,opt_ticker,local_pst
2025-11-26 14:30:00+00:00,6793.5498046875,,,2025-11-26 06:30:00-08:00
2025-11-26 14:35:00+00:00,6798.35986328125,,,2025-11-26 06:35:00-08:00
2025-11-26 14:40:00+00:00,6798.740234375,,,2025-11-26 06:40:00-08:00
2025-11-26 14:45:00+00:00,6803.22998046875,,,2025-11-26 06:45:00-08:00
2025-11-26 14:50:00+00:00,6808.97998046875,,,2025-11-26 06:50:00-08:00
2025-11-26 14:55:00+00:00,6798.93017578125,,,2025-11-26 06:55:00-08:00
2025-11-26 15:00:00+00:00,6789.669921875,,,2025-11-26 07:00:00-08:00
2025-11-26 15:05:00+00:00,6791.35009765625,,,2025-11-26 07:05:00-08:00
2025-11-26 15:10:00+00:00,6797.52978515625,,,2025-11-26 07:10:00-08:00
2025-11-26 15:15:00+00:00,6790.85009765625,,,2025-11-26 07:15:00-08:00
2025-11-26 15:20:00+00:00,6794.509765625,,,2025-11-26 07:20:00-08:00
2025-11-26 15:25:00+00:00,6788.5,,,2025-11-26 07:25:00-08:00
2025-11-26 15:30:00+00:00,6796.14013671875,,,2025-11-26 07:30:00-08:00
2025-11-26 15:35:00+00:00,6803.0,,,2025-11-26 07:35:00-08:00
2025-11-26 15:40:00+00:00,6805.47021484375,,,2025-11-26 07:40:00-08:00
2025-11-26 15:45:00+00:00,6801.02978515625,,,2025-11-26 07:45:00-08:00
2025-11-26 15:50:00+00:00,6799.77001953125,,,2025-11-26 07:50:00-08:00
2025-11-26 15:55:00+00:00,6803.93994140625,,,2025-11-26 07:55:00-08:00
2025-11-26 16:00:00+00:00,6809.85986328125,,,2025-11-26 08:00:00-08:00
2025-11-26 16:05:00+00:00,6814.27001953125,,,2025-11-26 08:05:00-08:00
2025-11-26 16:10:00+00:00,6815.31005859375,,,2025-11-26 08:10:00-08:00
2025-11-26 16:15:00+00:00,6816.31005859375,,,2025-11-26 08:15:00-08:00
2025-11-26 16:20:00+00:00,6818.41015625,,,2025-11-26 08:20:00-08:00
2025-11-26 16:25:00+00:00,6822.830078125,,,2025-11-26 08:25:00-08:00
2025-11-26 16:30:00+00:00,6820.41015625,,,2025-11-26 08:30:00-08:00
2025-11-26 16:35:00+00:00,6822.18994140625,,,2025-11-26 08:35:00-08:00
2025-11-26 16:40:00+00:00,6826.08984375,,,2025-11-26 08:40:00-08:00
2025-11-26 16:45:00+00:00,6829.56982421875,,,2025-11-26 08:45:00-08:00
2025-11-26 16:50:00+00:00,6826.9599609375,,,2025-11-26 08:50:00-08:00
2025-11-26 16:55:00+00:00,6827.22998046875,,,2025-11-26 08:55:00-08:00
2025-11-26 17:00:00+00:00,6828.10009765625,,,2025-11-26 09:00:00-08:00
2025-11-26 17:05:00+00:00,6826.0498046875,,,2025-11-26 09:05:00-08:00
2025-11-26 17:10:00+00:00,6823.06005859375,,,2025-11-26 09:10:00-08:00
2025-11-26 17:15:00+00:00,6822.22021484375,,,2025-11-26 09:15:00-08:00
2025-11-26 17:20:00+00:00,6819.83984375,,,2025-11-26 09:20:00-08:00
2025-11-26 17:25:00+00:00,6824.89990234375,,,2025-11-26 09:25:00-08:00
2025-11-26 17:30:00+00:00,6823.77978515625,,,2025-11-26 09:30:00-08:00
2025-11-26 17:35:00+00:00,6827.97021484375,,,2025-11-26 09:35:00-08:00
2025-11-26 17:40:00+00:00,6825.97021484375,,,2025-11-26 09:40:00-08:00
2025-11-26 17:45:00+00:00,6829.68017578125,,,2025-11-26 09:45:00-08:00
2025-11-26 17:50:00+00:00,6826.759765625,,,2025-11-26 09:50:00-08:00
2025-11-26 17:55:00+00:00,6826.2001953125,,,2025-11-26 09:55:00-08:00
2025-11-26 18:00:00+00:00,6825.58984375,,,2025-11-26 10:00:00-08:00
2025-11-26 18:05:00+00:00,6828.35986328125,,,2025-11-26 10:05:00-08:00
2025-11-26 18:10:00+00:00,6817.919921875,,,2025-11-26 10:10:00-08:00
2025-11-26 18:15:00+00:00,6823.08984375,,,2025-11-26 10:15:00-08:00
2025-11-26 18:20:00+00:00,6819.39013671875,,,2025-11-26 10:20:00-08:00
2025-11-26 18:25:00+00:00,6824.740234375,,,2025-11-26 10:25:00-08:00
2025-11-26 18:30:00+00:00,6825.919921875,,,2025-11-26 10:30:00-08:00
2025-11-26 18:35:00+00:00,6818.009765625,,,2025-11-26 10:35:00-08:00
2025-11-26 18:40:00+00:00,6818.47021484375,,,2025-11-26 10:40:00-08:00
2025-11-26 18:45:00+00:00,6812.6298828125,,,2025-11-26 10:45:00-08:00
2025-11-26 18:50:00+00:00,6820.259765625,,,2025-11-26 10:50:00-08:00
2025-11-26 18:55:00+00:00,6817.490234375,,,2025-11-26 10:55:00-08:00
2025-11-26 19:00:00+00:00,6818.33984375,,,2025-11-26 11:00:00-08:00
2025-11-26 19:05:00+00:00,6819.0400390625,,,2025-11-26 11:05:00-08:00
2025-11-26 19:10:00+00:00,6818.97021484375,,,2025-11-26 11:10:00-08:00
2025-11-26 19:15:00+00:00,6822.259765625,,,2025-11-26 11:15:00-08:00
2025-11-26 19:20:00+00:00,6824.47998046875,,,2025-11-26 11:20:00-08:00
2025-11-26 19:25:00+00:00,6827.009765625,,,2025-11-26 11:25:00-08:00
2025-11-26 19:30:00+00:00,6826.97021484375,,,2025-11-26 11:30:00-08:00
2025-11-26 19:35:00+00:00,6826.0498046875,,,2025-11-26 11:35:00-08:00
2025-11-26 19:40:00+00:00,6822.39990234375,,,2025-11-26 11:40:00-08:00
2025-11-26 19:45:00+00:00,6822.1201171875,,,2025-11-26 11:45:00-08:00
2025-11-26 19:50:00+00:00,6820.669921875,,,2025-11-26 11:50:00-08:00
2025-11-26 19:55:00+00:00,6823.6298828125,,,2025-11-26 11:55:00-08:00
2025-11-26 20:00:00+00:00,6823.22021484375,,,2025-11-26 12:00:00-08:00
2025-11-26 20:05:00+00:00,6825.35986328125,,,2025-11-26 12:05:00-08:00
2025-11-26 20:10:00+00:00,6824.2900390625,,,2025-11-26 12:10:00-08:00
2025-11-26 20:15:00+00:00,6828.83984375,,,2025-11-26 12:15:00-08:00
2025-11-26 20:20:00+00:00,6826.72998046875,,,2025-11-26 12:20:00-08:00
2025-11-26 20:25:00+00:00,6827.8701171875,,,2025-11-26 12:25:00-08:00
2025-11-26 20:30:00+00:00,6826.919921875,,,2025-11-26 12:30:00-08:00
2025-11-26 20:35:00+00:00,6826.3798828125,,,2025-11-26 12:35:00-08:00
2025-11-26 20:40:00+00:00,6825.89990234375,,,2025-11-26 12:40:00-08:00
2025-11-26 20:45:00+00:00,6826.4501953125,,,2025-11-26 12:45:00-08:00
2025-11-26 20:50:00+00:00,6821.39013671875,,,2025-11-26 12:50:00-08:00
2025-11-26 20:55:00+00:00,6816.58984375,,,2025-11-26 12:55:00-08:00
